Ano-calendário;Código da Receita Tributária;Descrição;Valor da Receita Tributária;Percentual do PIB;;;;
2002;0;Total da Receita Tributária;477725,6437;1;;;;
2002;1000;Tributos sobre a Renda;97010,59205;0,203067584;;;;
2002;1100;Pessoa Física;28577,14573;0,059819158;;;;
2002;1100.01;IRPF;4078,31919;0,008536948;;;;
2002;1100.02;IRRF - Trabalho União;16417,12615;0,034365177;;;;
2002;1100.03;IRRF - Estados;5219,355449;0,010925424;;;;
2002;1100.04;IRRF - Municípios;1808,66431;0,00378599;;;;
2002;1100.05;Contrib. s/ Concursos e Prognósticos;1053,680634;0,002205619;;;;
2002;1200;Pessoa Jurídica;43964,93692;0,092029677;;;;
2002;1200.01;IRPJ;31536,71663;0,066014285;;;;
2002;1200.02;CSLL;12428,2203;0,026015393;;;;
2002;1900;Retenções não Alocáveis;24468,50939;0,051218748;;;;
2002;1900.01;IRRF - Não Residentes;5371,652911;0,011244221;;;;
2002;1900.02;IRRF - Capital;16227,3129;0,03396785;;;;
2002;1900.03;IRRF - Outros;2869,543578;0,006006677;;;;
2002;2000;Tributos sobre a Folha de Salários;116840,0336;0,244575595;;;;
2002;2100;Previdência Social;84217,65411;0,176288745;;;;
2002;2110;Empregador;58282,27567;0,121999471;;;;
2002;2110.01;Contrib. para o INSS - Patronal;50563,81266;0,105842785;;;;
2002;2110.02;CPSS - Parcela Governo;1153,692216;0,002414968;;;;
2002;2110.03;Previd. dos Estados - Governo;5263,486195;0,011017801;;;;
2002;2110.04;Previd. dos Municípios - Governo;1301,284602;0,002723916;;;;
2002;2120;Empregado;25935,37844;0,054289274;;;;
2002;2120.01;Contrib. para o INSS - Empregado;19099,11247;0,039979249;;;;
2002;2120.02;CPSS - Parcela Servidor;3215,313897;0,006730461;;;;
2002;2120.03;Previd. dos Estados - Servidor;2105,2869;0,004406895;;;;
2002;2120.04;Previd. dos Municípios - Servidor;520,4872442;0,001089511;;;;
2002;2120.05;Contrib. p/ Custeio das Pensões Militares;995,1779242;0,002083158;;;;
2002;2120.06;Contribuição Voluntária  Montepio Civil ;0;0;;;;
2002;2200;Seguro Desemprego;23847,75276;0,049919348;;;;
2002;2200.01;FGTS;23847,75276;0,049919348;;;;
2002;2900;Outros;8774,626762;0,018367502;;;;
2002;2900.01;Salário Educação;3607,675528;0,007551773;;;;
2002;2900.02;"Sistema ""S""";3292,03554;0,006891059;;;;
2002;2900.03;PIS - Folha de pagamento;216,5247658;0,000453241;;;;
2002;2900.04;Pasep;1286,502424;0,002692973;;;;
2002;2900.05;Cota-Parte Contrib. Sindical;145,0331823;0,000303591;;;;
2002;2900.06;Contrib. p/ Ensino Aeroviario;41,58738572;8,70529E-05;;;;
2002;2900.07;Contrib. p/ Ensino Profiss. Maritimo;29,16450403;6,10486E-05;;;;
2002;2900.08;Contrib. Rurais;75,75909626;0,000158583;;;;
2002;2900.09;Contribuição para o Fundo de Saúde - PMDF/BMDF;80,34433519;0,000168181;;;;
2002;3000;Tributos sobre a Propriedade;17043,30018;0,035675917;;;;
2002;3100;Propriedade Imobiliária (urbana e rural) ;7901,732328;0,016540314;;;;
2002;3100.01;ITR;190,5905133;0,000398954;;;;
2002;3100.02;IPTU;7711,141815;0,01614136;;;;
2002;3200;Propriedade de Veículos Automotores;6952,997329;0,014554373;;;;
2002;3200.01;IPVA;6952,997329;0,014554373;;;;
2002;3300;Transferências Patrimoniais;2188,570524;0,004581229;;;;
2002;3300.01;ITCD;510,2348253;0,00106805;;;;
2002;3300.02;ITBI;1678,335699;0,003513179;;;;
2002;4000;Tributos sobre Bens e Serviços;221678,9069;0,464029741;;;;
2002;4100;Gerais ;157862,1569;0,330445223;;;;
2002;4100.01;ICMS - Exceto Seletivos;74723,79135;0,156415701;;;;
2002;4100.02;IPI - Exceto Seletivos;12098,77785;0,025325787;;;;
2002;4100.03;Cofins;50997,4717;0,106750543;;;;
2002;4100.04;PIS;11013,6159;0,02305427;;;;
2002;4100.05;Imposto sobre Serviços (ISS);9028,500062;0,018898923;;;;
2002;4200;Seletivos;43414,58189;0,090877646;;;;
2002;4210;Automóveis;2666,040939;0,005580695;;;;
2002;4210.01;IPI - Automóveis;2666,040939;0,005580695;;;;
2002;4220;Bebidas;1796,475323;0,003760475;;;;
2002;4220.01;IPI - Bebidas;1796,475323;0,003760475;;;;
2002;4230;Combustíveis;26940,37671;0,056392988;;;;
2002;4230.01;CIDE - Combustíveis;7582,698712;0,015872497;;;;
2002;4230.02;ICMS - Combustíveis;19357,678;0,040520492;;;;
2002;4240;Energia Elétrica;10086,864;0,021114345;;;;
2002;4240.01;ICMS - Energia Elétrica;10086,864;0,021114345;;;;
2002;4250;Tabaco;1924,824916;0,004029143;;;;
2002;4250.01;IPI - Tabaco;1924,824916;0,004029143;;;;
2002;4300;Comércio Exterior;7956,652394;0,016655276;;;;
2002;4300.01;Imposto sobre Importação;7881,938702;0,016498881;;;;
2002;4300.02;Imposto sobre Exportação;74,71369181;0,000156395;;;;
2002;4400;Taxas - Prest. Serviços e Poder Polícia;9521,275633;0,019930426;;;;
2002;4400.01;Taxas Federais;1532,540862;0,003207994;;;;
2002;4400.02;Outros Tributos Estaduais;5003,59426;0,010473782;;;;
2002;4400.03;Outros Tributos Municipais;2985,140512;0,00624865;;;;
2002;4500;Contribuições Previdenciárias;302,1332143;0,000632441;;;;
2002;4500.01;Contrib. Previdenciária sobre Faturamento;0;0;;;;
2002;4500.02;Adicional à Contribuição Previdenciária;302,1332143;0,000632441;;;;
2002;4600;Outras Contrib. Sociais e Econômicas;2622,106902;0,00548873;;;;
2002;4600.01;Rec. Partic. Seguro DPVAT;694,3510666;0,001453452;;;;
2002;4600.02;AFRMM ;654,6948626;0,001370441;;;;
